"Clade","Model","lamda","AICc","AW"
"4g","bcst.d0",0.176203125,72491.7989809765,0
"4g","bcst.dcst",1.44031646288967,62226.0553799781,0.00423666924744177
"4g","bvar.d0",0.357951615452767,65352.195157383,0
"4g","bvar.l.d0",0.251653239355661,67402.68148828,0
"4g","bvar.dcst",1.40357736991392,62218.1755074066,0.217829727576005
"4g","bvar.l.dcst",0.358963422840011,65933.3257744517,0
"4g","bcst.dvar",1.40464187600122,62218.35843045,0.198790631872788
"4g","bcst.dvar.l",1.40428950142123,62218.4071846826,0.19400327753586
"4g","bvar.dvar",1.39045884542408,62217.0357225706,0.385139693767906
