Clade,Model,lamda,AICc
5g,bcst.d0,0.230765625,135337.771852987
5g,bcst.dcst,1.33948251444163,116645.448148767
5g,bvar.d0,0.445961166254408,122542.235817149
5g,bvar.l.d0,0.313956945733719,127081.608311198
5g,bvar.dcst,1.31269797543446,116624.891492033
5g,bvar.l.dcst,1.31288717209253,116625.303499738
5g,bcst.dvar,1.31366236438105,116625.271514895
5g,bcst.dvar.l,1.3137126326951,116625.306966077
5g,bvar.dvar,1.30577871548911,116622.394102851
