Order,SpeciationRate
Brassicales,0.700266661
Celastrales,0.62624024
Crossosomatales,0.172197369
Cucurbitales,0.331896063
Fabales,0.719324646
Fagales,2.411066927
Geraniales,0.401789833
Huerteales,0.066825182
Malpighiales,0.583048114
Malvales,0.759831392
Myrtales,1.087974046
Oxalidales,0.886804664
Picramniales,0.280426182
Rosales,2.484750493
Sapindales,0.432259246
Vitales,1.110914916
Zygophyllales,0.253547071
