Order,SpeciationRate
Brassicales,0.395274616
Celastrales,0.29096718
Crossosomatales,0.177091269
Cucurbitales,0.157643358
Fabales,0.421885729
Fagales,1.660606799
Geraniales,0.536293181
Huerteales,0.075877291
Malpighiales,0.414049544
Malvales,0.483722234
Myrtales,1.080285398
Oxalidales,0.811606413
Picramniales,0.274269551
Rosales,1.625487338
Sapindales,0.15002903
Vitales,0.764750777
Zygophyllales,0.202638359
