Order,SpeciationRate
Brassicales,0.422099589
Celastrales,0.311552956
Crossosomatales,0.057521525
Cucurbitales,0.330797816
Fabales,0.913258874
Fagales,0.329685649
Geraniales,0.31649189
Huerteales,0.045063958
Malpighiales,0.383152429
Malvales,0.310362967
Myrtales,0.214322254
Oxalidales,0.359269308
Picramniales,0.309222633
Rosales,0.434590296
Sapindales,0.294215093
Vitales,1.154188806
Zygophyllales,0.468673677
