rtt$times,Mean.lamda,Mean.mu,mean.netdiv
0,0.0433485,0,0.0433485
1.08601367676768,0.0436738363704198,0,0.0436738363704198
2.17202735353535,0.0439796845274757,0,0.0439796845274757
3.25804103030303,0.0443211887819188,0,0.0443211887819188
4.34405470707071,0.0446173076020237,0,0.0446173076020237
5.43006838383839,0.0449299634776752,0,0.0449299634776752
6.51608206060606,0.0452499496433469,0,0.0452499496433469
7.60209573737374,0.0455728013475899,0,0.0455728013475899
8.68810941414142,0.0458615364173672,0,0.0458615364173672
9.77412309090909,0.046195523328178,0,0.046195523328178
10.8601367676768,0.0465509338392037,0,0.0465509338392037
11.9461504444444,0.0468920308189322,0,0.0468920308189322
13.0321641212121,0.0471933620679259,0,0.0471933620679259
14.1181777979798,0.0475025781374178,0,0.0475025781374178
15.2041914747475,0.0478085839873383,0,0.0478085839873383
16.2902051515152,0.0481350141372447,0,0.0481350141372447
17.3762188282828,0.0484125896804367,0,0.0484125896804367
18.4622325050505,0.0486525286917918,0,0.0486525286917918
19.5482461818182,0.0487685714660784,0,0.0487685714660784
20.6342598585859,0.0489926696608655,0,0.0489926696608655
21.7202735353535,0.0491897779786404,0,0.0491897779786404
22.8062872121212,0.0493975748821489,0,0.0493975748821489
23.8923008888889,0.0500664812443211,0,0.0500664812443211
24.9783145656566,0.050324253982533,0,0.050324253982533
26.0643282424243,0.0505944411123952,0,0.0505944411123952
27.1503419191919,0.0508517003131889,0,0.0508517003131889
28.2363555959596,0.0511478447909477,0,0.0511478447909477
29.3223692727273,0.0514508033570811,0,0.0514508033570811
30.408382949495,0.0526880987390494,0,0.0526880987390494
31.4943966262626,0.0531054345521804,0,0.0531054345521804
32.5804103030303,0.0535013855406206,0,0.0535013855406206
33.666423979798,0.053915464992934,0,0.053915464992934
34.7524376565657,0.0543058335408586,0,0.0543058335408586
35.8384513333333,0.0547668301858812,0,0.0547668301858812
36.924465010101,0.0568257938861989,0,0.0568257938861989
38.0104786868687,0.0571341257754696,0,0.0571341257754696
39.0964923636364,0.0574662586798538,0,0.0574662586798538
40.1825060404041,0.0584054030830891,0,0.0584054030830891
41.2685197171717,0.0584533830780612,0,0.0584533830780612
42.3545333939394,0.0588533231642421,0,0.0588533231642421
43.4405470707071,0.0592069672206897,0,0.0592069672206897
44.5265607474748,0.0591943739274952,0,0.0591943739274952
45.6125744242424,0.0596295871463195,0,0.0596295871463195
46.6985881010101,0.060063535409094,0,0.060063535409094
47.7846017777778,0.0621957133420444,0,0.0621957133420444
48.8706154545455,0.06235733710731,0,0.06235733710731
49.9566291313132,0.0642476893244954,0,0.0642476893244954
51.0426428080808,0.0647362354718507,0,0.0647362354718507
52.1286564848485,0.0660450531762933,0,0.0660450531762933
53.2146701616162,0.0663540552928921,0,0.0663540552928921
54.3006838383839,0.0681566715662415,0,0.0681566715662415
55.3866975151515,0.068425390226187,0,0.068425390226187
56.4727111919192,0.069647761916794,0,0.069647761916794
57.5587248686869,0.0703836087806169,0,0.0703836087806169
58.6447385454546,0.0716941629993035,0,0.0716941629993035
59.7307522222222,0.0721569759916793,0,0.0721569759916793
60.8167658989899,0.0726454175505255,0,0.0726454175505255
61.9027795757576,0.0737930051005651,0,0.0737930051005651
62.9887932525253,0.0749622688144822,0,0.0749622688144822
64.0748069292929,0.0770013525759589,0,0.0770013525759589
65.1608206060606,0.077970580340183,0,0.077970580340183
66.2468342828283,0.0789874535430232,0,0.0789874535430232
67.332847959596,0.081983178438712,0,0.081983178438712
68.4188616363637,0.0824702357912626,0,0.0824702357912626
69.5048753131313,0.0830548131282703,0,0.0830548131282703
70.590888989899,0.084603528249123,0,0.084603528249123
71.6769026666667,0.0863805768058791,0,0.0863805768058791
72.7629163434344,0.0868570716733856,0,0.0868570716733856
73.848930020202,0.0889507000147888,0,0.0889507000147888
74.9349436969697,0.0898845398684387,0,0.0898845398684387
76.0209573737374,0.0907318717297735,0,0.0907318717297735
77.1069710505051,0.0917735444479698,0,0.0917735444479698
78.1929847272728,0.0936557189221813,0,0.0936557189221813
79.2789984040404,0.0965882365118611,0,0.0965882365118611
80.3650120808081,0.0990867717366791,0,0.0990867717366791
81.4510257575758,0.100267611217559,0,0.100267611217559
82.5370394343435,0.103168832590969,0,0.103168832590969
83.6230531111111,0.105421285388175,0,0.105421285388175
84.7090667878788,0.109267698962585,0,0.109267698962585
85.7950804646465,0.113023089518151,0,0.113023089518151
86.8810941414142,0.119402179181046,0,0.119402179181046
87.9671078181818,0.122200094018459,0,0.122200094018459
89.0531214949495,0.125694201066713,0,0.125694201066713
90.1391351717172,0.129100739198618,0,0.129100739198618
91.2251488484849,0.133975230351784,0,0.133975230351784
92.3111625252526,0.141350383453012,0,0.141350383453012
93.3971762020202,0.14903176725268,0,0.14903176725268
94.4831898787879,0.160583041095871,0,0.160583041095871
95.5692035555556,0.174360808086461,0,0.174360808086461
96.6552172323233,0.184454735979912,0,0.184454735979912
97.7412309090909,0.208402974546855,0,0.208402974546855
98.8272445858586,0.230221406983458,0,0.230221406983458
99.9132582626263,0.255399532393221,0,0.255399532393221
100.999271939394,0.277543579022869,0,0.277543579022869
102.085285616162,0.312878668172962,0,0.312878668172962
103.171299292929,0.352768754612578,0,0.352768754612578
104.257312969697,0.422353478459253,0,0.422353478459253
105.343326646465,0.600632171202383,0,0.600632171202383
106.429340323232,0.849263356667379,0,0.849263356667379
107.515354,1.14461477834657,0,1.14461477834657
