Clade,MeanDR
Brassicales,0.112525427
Celastrales,0.090335717
Crossosomatales,0.100526456
Cucurbitales,0.088826436
Fabales,0.107978447
Fagales,0.080827144
Geraniales,0.091466091
Huerteales,0.113345252
Malpighiales,0.093087428
Malvales,0.112945122
Myrtales,0.072720281
Oxalidales,0.101050743
Picramniales,0.023816974
Rosales,0.059871427
Sapindales,0.080408936
Vitales,0.044984975
Zygophyllales,0.067323067
