Clade,MeanDR
Brassicales,0.121564276
Celastrales,0.185379294
Crossosomatales,0.083983235
Cucurbitales,0.215909633
Fabales,0.177772746
Fagales,0.324054342
Geraniales,0.153779291
Huerteales,0.02159198
Malpighiales,0.128404617
Malvales,0.246604785
Myrtales,0.16555255
Oxalidales,0.089414665
Picramniales,0.030322406
Rosales,0.345884139
Sapindales,0.190989908
Vitales,0.112595575
Zygophyllales,0.055525954
