Clade,MeanDR
Brassicales,0.505771383
Celastrales,0.221035924
Crossosomatales,0.076412566
Cucurbitales,0.3054605
Fabales,0.597489519
Fagales,0.577692523
Geraniales,0.32138006
Huerteales,0.02215618
Malpighiales,0.343526245
Malvales,0.429386587
Myrtales,0.42168989
Oxalidales,0.185387708
Picramniales,0.031181445
Rosales,0.639212531
Sapindales,0.255434491
Vitales,0.567204901
Zygophyllales,0.069683468
