"Clade","Model","lamda","AICc","AW"
"Brassicales","bvar.l.d0",0.047073212,43736.32198,0.731573389947353
"Celastrales","bvar.l.d0",0.052168846,11284.71122,0.731898570292251
"Crossosomatales","bvar.l.d0",0.128988799,532.7036932,0.358186352071481
"Cucurbitales","bvar.l.dcst",0.029564394,23178.99171,1
"Fabales","bvar.d0",0.04144531,200995.2753,0.414739975663637
"Fagales","bvar.l.d0",0.047418648,15247.38435,0.731627388965604
"Geraniales","bvar.l.d0",0.096525307,7219.136959,1
"Huerteales","bcst.dvar.l",0.264909154,174.6549247,0.504223523939823
"Malpighiales","bvar.l.d0",0.018280223,157435.2067,0.730930761680969
"Malvales","bvar.l.d0",-0.001315038,49127.59102,0.731251214689294
"Myrtales","bvar.l.dcst",-0.006568419,116233.782,1
"Oxalidales","bvar.l.d0",0.049770114,16649.34027,0.731585562483009
"Picramniales","bvar.l.dcst",0.037240533,370.5424775,0.996585406281078
"Rosales","bvar.dvar",0.025802538,116962.3346,1
"Sapindales","bvar.l.d0",0.02693033,41719.72204,0.73135241191597
"Zygophyllales","bvar.l.d0",0.025775178,2800.561744,0.729480989607068
"Vitales","bvar.dvar",0.01883937,9630.261453,0.831374068841182
