"Clade","Model","lamda","AICc","AW"
"Brassicales","bcst.d0",0.240890625,11291.74938,1.31024823369412e-214
"Brassicales","bcst.dcst",0.890613745,10316.52527,0.00766616882196656
"Brassicales","bvar.d0",0.406787311,10619.54494,1.21532682634929e-68
"Brassicales","bvar.l.d0",0.307716066,10826.69077,1.2692513243202e-113
"Brassicales","bvar.dcst",0.862914428,10312.91105,0.046708538671226
"Brassicales","bvar.l.dcst",0.863924603,10312.94263,0.0459768031011703
"Brassicales","bcst.dvar",0.86385681,10312.87974,0.0474455144708214
"Brassicales","bcst.dvar.l",0.863556656,10312.94325,0.0459625525011498
"Brassicales","bvar.dvar",0.942114849,10307.21414,0.806240422433666
"Celastrales","bcst.d0",0.193570313,1994.312678,1.49060266485368e-41
"Celastrales","bcst.dcst",0.847629211,1813.409831,0.0285703788755667
"Celastrales","bvar.d0",0.355236147,1833.135253,1.48797294845634e-06
"Celastrales","bvar.l.d0",0.260450538,1879.94677,1.01766133543085e-16
"Celastrales","bvar.dcst",0.743580506,1808.792907,0.287387786856711
"Celastrales","bvar.l.dcst",0.353955335,1853.500507,5.62776971912389e-11
"Celastrales","bcst.dvar",0.751836987,1808.968454,0.263238108331165
"Celastrales","bcst.dvar.l",0.747705326,1808.891574,0.273553982083419
"Celastrales","bvar.dvar",0.712497361,1810.130332,0.147248255823912
"Crossosomatales","bcst.d0",0.059730469,201.5108856,0.000236572962200623
"Crossosomatales","bcst.dcst",0.296815351,186.5197702,0.425838041461729
"Crossosomatales","bvar.d0",0.138921091,190.7729024,0.050779513191856
"Crossosomatales","bvar.l.d0",0.091429531,194.6991091,0.00713055905093951
"Crossosomatales","bvar.dcst",0.31478782,189.0542248,0.119920831746959
"Crossosomatales","bvar.l.dcst",0.315005277,189.0508683,0.120122257857246
"Crossosomatales","bcst.dvar",0.316203429,189.0468602,0.120363230247814
"Crossosomatales","bcst.dvar.l",0.315490848,189.0508242,0.120124906582234
"Crossosomatales","bvar.dvar",0.379532495,191.4897197,0.0354840868990209
"Cucurbitales","bcst.d0",0.211078125,5598.711074,5.35473002599165e-71
"Cucurbitales","bcst.dcst",0.614914893,5312.8187,6.44878358586696e-09
"Cucurbitales","bvar.d0",0.326185141,5306.394241,1.6015162483063e-07
"Cucurbitales","bvar.l.d0",0.257916439,5389.768107,1.25929181276156e-25
"Cucurbitales","bvar.dcst",0.529821265,5279.640542,0.103281674924018
"Cucurbitales","bvar.l.dcst",0.36416447,5302.936781,9.022133496897e-07
"Cucurbitales","bcst.dvar",0.551258942,5283.147797,0.0178826767285968
"Cucurbitales","bcst.dvar.l",0.541445688,5281.50615,0.0406360646311987
"Cucurbitales","bvar.dvar",0.501419983,5275.452952,0.838198514902428
"Fabales","bcst.d0",0.25115625,36411.25541,0
"Fabales","bcst.dcst",1.290319184,31594.91335,0.46383731854391
"Fabales","bvar.d0",0.477139656,33185.9076,0
"Fabales","bvar.l.d0",0.354910485,34136.73778,0
"Fabales","bvar.dcst",1.292019561,31596.86179,0.175092408681497
"Fabales","bvar.l.dcst",0.47444162,33526.32366,0
"Fabales","bcst.dvar",1.292646687,31596.8619,0.175082778863767
"Fabales","bcst.dvar.l",1.291524837,31596.90747,0.171138622187081
"Fabales","bvar.dvar",1.295300453,31601.79657,0.0148488717237437
"Fagales","bcst.d0",0.3133125,3348.958923,8.21062545610631e-177
"Fagales","bcst.dcst",2.026016562,2539.531762,0.477805345148278
"Fagales","bvar.d0",0.730418026,2647.457662,1.75161877507792e-24
"Fagales","bvar.l.d0",0.453673,2903.710068,3.97133608082856e-80
"Fagales","bvar.dcst",0.730351857,2649.480121,6.37188897300701e-25
"Fagales","bvar.l.dcst",0.70441686,2696.077622,4.85008581029916e-35
"Fagales","bcst.dvar",1.985362871,2540.755152,0.259176273231217
"Fagales","bcst.dvar.l",1.983059402,2540.725721,0.263018381620505
"Fagales","bvar.dvar",0.765509771,2631.348167,5.51533611097385e-21
"Geraniales","bcst.d0",0.214945313,2002.094473,3.22047497139687e-61
"Geraniales","bcst.dcst",0.973901875,1732.134366,0.0134589856583273
"Geraniales","bvar.d0",0.44177274,1750.08633,1.70134691560178e-06
"Geraniales","bvar.l.d0",0.283076707,1857.225116,9.24487618872698e-30
"Geraniales","bvar.dcst",0.884194825,1726.853339,0.18870037915419
"Geraniales","bvar.l.dcst",0.43877335,1779.789771,6.03632505159863e-13
"Geraniales","bcst.dvar",0.894139133,1727.241658,0.155399770588615
"Geraniales","bcst.dvar.l",0.889828217,1727.062794,0.169937880537394
"Geraniales","bvar.dvar",0.811421112,1725.017579,0.472501282713954
"Huerteales","bcst.d0",0.036351563,52.48162605,0.582339852790517
"Huerteales","bcst.dcst",0.036389558,56.68164046,0.0713107446063284
"Huerteales","bvar.d0",0.019312752,55.92747189,0.103973004861452
"Huerteales","bvar.l.d0",0.048837805,54.37039481,0.226482988650721
"Huerteales","bvar.dcst",0.022732225,62.91570721,0.00315823597765286
"Huerteales","bvar.l.dcst",0.027949544,62.90859136,0.00316949275790879
"Huerteales","bcst.dvar",0.036352957,63.68162695,0.00215341244326025
"Huerteales","bcst.dvar.l",0.228840986,61.21046683,0.00740854324458579
"Huerteales","bvar.dvar",0.110717248,76.40128983,3.72466757332889e-06
"Malpighiales","bcst.d0",0.191320313,27825.94043,0
"Malpighiales","bcst.dcst",0.997525677,24686.37012,0.0669373686081922
"Malpighiales","bvar.d0",0.359815031,25624.21466,1.49731899178077e-205
"Malpighiales","bvar.l.d0",0.267775823,26345.65773,0
"Malpighiales","bvar.dcst",0.975836858,24684.04826,0.213724410844538
"Malpighiales","bvar.l.dcst",0.975975083,24684.14432,0.203701845952133
"Malpighiales","bcst.dvar",0.976123007,24684.11985,0.206209447005584
"Malpighiales","bcst.dvar.l",0.97573823,24684.14472,0.203661109656625
"Malpighiales","bvar.dvar",0.97130645,24685.45518,0.105765817932928
"Malvales","bcst.d0",0.248273438,9076.175071,1.54728061662755e-260
"Malvales","bcst.dcst",1.429348654,7886.048163,0.0419124973993034
"Malvales","bvar.d0",0.466742081,8264.44055,2.85417570679641e-84
"Malvales","bvar.l.d0",0.324938684,8589.061717,9.22337649592163e-155
"Malvales","bvar.dcst",1.37220089,7881.960589,0.323555626013485
"Malvales","bvar.l.dcst",0.506612876,8288.785899,1.47555478903056e-89
"Malvales","bcst.dvar",1.374018516,7881.994535,0.318110259204371
"Malvales","bcst.dvar.l",1.373919426,7882.00518,0.316421615239924
