"Clade","Model","lamda","AICc","AW"
"Malvales","bvar.l.dcst",0.464095591,5244.907144,4.86998543205534e-52
"Malvales","bcst.dvar",1.50493742,5011.207165,0.2721656502009
"Malvales","bcst.dvar.l",1.50159481,5011.171817,0.277018665672706
"Malvales","bvar.dvar",1.475620779,5012.366195,0.152459027682947
"Myrtales","bcst.d0",0.207984375,5717.057298,1.64169601959514e-198
"Myrtales","bcst.dcst",2.318292149,4809.075597,0.240444004259192
"Myrtales","bvar.d0",0.440022511,5077.451776,1.27018548321276e-59
"Myrtales","bvar.l.d0",0.32580529,5238.869314,1.12848067696871e-94
"Myrtales","bvar.dcst",2.222873888,4809.725501,0.173735709210409
"Myrtales","bvar.l.dcst",2.225509518,4809.748123,0.171781656581343
"Myrtales","bcst.dvar",2.226530632,4809.736494,0.172783390492244
"Myrtales","bcst.dvar.l",2.226401796,4809.74813,0.171781055346628
"Myrtales","bvar.dvar",2.190778143,4811.558661,0.0694741841101839
"Oxalidales","bcst.d0",0.152332031,904.2726951,1.01986710519436e-33
"Oxalidales","bcst.dcst",1.811537349,755.2814262,0.229925188808168
"Oxalidales","bvar.d0",0.355543835,775.113762,1.13514032306676e-05
"Oxalidales","bvar.l.d0",0.232557062,813.4359092,5.41378518596566e-14
"Oxalidales","bvar.dcst",0.355630233,777.2414271,3.91771595302873e-06
"Oxalidales","bvar.l.dcst",0.340134415,794.0097842,8.95015312357391e-10
"Oxalidales","bcst.dvar",0.152091643,908.4847013,1.24141805974461e-34
"Oxalidales","bcst.dvar.l",1.485597464,753.6033075,0.532090368203983
"Oxalidales","bvar.dvar",1.373376785,755.2126519,0.237969172973596
"Picramniales","bcst.d0",0.077132813,33.29763549,0.729009086816945
"Picramniales","bcst.dcst",0.610195816,36.86142753,0.122705868265809
"Picramniales","bvar.d0",0.22543631,37.78017272,0.0775108232696304
"Picramniales","bvar.l.d0",0.153263025,37.96262584,0.0707527228786745
"Picramniales","bvar.dcst",0.798044638,56.74729464,5.89799168553331e-06
"Picramniales","bvar.l.dcst",0.815370664,56.73472523,5.93517554577643e-06
"Picramniales","bcst.dvar",0.836292049,56.71898702,5.98206430968608e-06
"Picramniales","bcst.dvar.l",0.298188034,57.68877136,3.68353740076128e-06
"Picramniales","bvar.dvar",2.113554622,Inf,0
"Rosales","bcst.d0",0.185976563,6691.528886,0
"Rosales","bcst.dcst",3.836176828,4967.851738,0.00015486685602054
"Rosales","bvar.d0",0.503397051,5742.572244,9.1524653885199e-173
"Rosales","bvar.l.d0",0.303685768,6100.81879,1.47668903762045e-250
"Rosales","bvar.dcst",4.126245216,4958.959064,0.0132122902423793
