"Time","median.rate"
0,1.04798
0.790599575757576,1.05008729745878
1.58119915151515,1.05219035752508
2.37179872727273,1.05254566530061
3.1623983030303,1.05342786629139
3.95299787878788,1.05665680238509
4.74359745454545,1.05920872770697
5.53419703030303,1.05977245729038
6.32479660606061,1.06033588491484
7.11539618181818,1.06124279739358
7.90599575757576,1.06197711231942
8.69659533333333,1.06400316914315
9.48719490909091,1.06477412605751
10.2777944848485,1.06526464802152
11.0683940606061,1.06585773509132
11.8589936363636,1.06701491440228
12.6495932121212,1.0699031998001
13.4401927878788,1.07186169105084
14.2307923636364,1.07210364737997
15.0213919393939,1.0726331918572
15.8119915151515,1.07449560434765
16.6025910909091,1.07635455008414
17.3931906666667,1.07821003551977
18.1837902424242,1.07935362210753
18.9743898181818,1.08087675862987
19.7649893939394,1.08269760086443
20.555588969697,1.08289556228345
21.3461885454545,1.08355895072386
22.1367881212121,1.08584444170588
22.9273876969697,1.08701619421226
23.7179872727273,1.08829120829372
24.5085868484849,1.08960693984902
25.2991864242424,1.09043688774497
26.089786,1.09242177397844
26.8803855757576,1.09496971431255
27.6709851515152,1.09540009732071
28.4615847272727,1.09676381187098
29.2521843030303,1.09848453001427
30.0427838787879,1.10018005566319
30.8333834545455,1.10269042296595
31.623983030303,1.10435298872303
32.4145826060606,1.1055453719394
33.2051821818182,1.10673634271007
33.9957817575758,1.10811417312661
34.7863813333333,1.1093222391682
35.5769809090909,1.11063546428232
36.3675804848485,1.11185386242358
37.1581800606061,1.11344654261467
37.9487796363636,1.11464404988856
38.7393792121212,1.11482268452373
39.5299787878788,1.11511346815535
40.3205783636364,1.11725154386641
41.1111779393939,1.11912706093515
41.9017775151515,1.11974427687086
42.6923770909091,1.12075736301011
43.4829766666667,1.12142187800811
44.2735762424242,1.12208532923669
45.0641758181818,1.12300636403329
45.8547753939394,1.12375494777349
46.645374969697,1.12533211836401
47.4359745454546,1.12694032603226
48.2265741212121,1.12754173538101
49.0171736969697,1.12867337844469
49.8077732727273,1.1289
50.5983728484849,1.12957442895744
51.3889724242424,1.13074189956559
52.179572,1.13183894898917
52.9701715757576,1.13296924390923
53.7607711515152,1.13353828890918
54.5513707272727,1.13516099187657
55.3419703030303,1.13573958628828
56.1325698787879,1.13575585779719
56.9231694545455,1.13657594384764
57.713769030303,1.1377637327102
58.5043686060606,1.13811742990582
59.2949681818182,1.13877948311558
60.0855677575758,1.1406167928081
60.8761673333333,1.14301374101324
61.6667669090909,1.14429600565172
62.4573664848485,1.14557651100624
63.2479660606061,1.14564158196176
64.0385656363636,1.14527099979441
64.8291652121212,1.14494410734329
65.6197647878788,1.14659533811354
66.4103643636364,1.14880637081371
67.2009639393939,1.14988819518694
67.9915635151515,1.1512982742438
68.7821630909091,1.15316828767887
69.5727626666667,1.15474467839861
70.3633622424243,1.15565965865888
71.1539618181818,1.15657379059631
71.9445613939394,1.1572460039205
72.735160969697,1.15750319872693
73.5257605454546,1.15786079419268
74.3163601212121,1.15940365217642
75.1069596969697,1.16087462410373
75.8975592727273,1.1612401166766
76.6881588484849,1.1615482925951
77.4787584242424,1.1622486143035
78.269358,1.16240255391778
